,ID,User,Follower Count,Tweet,Created At,Favourite Count,Retweet Count
0,1522588876778397696,SheenaIsAPunkRocker 🎸,62035,"#OnThisDay, 1960, #ElvisPresley - #Single: ""STUCK ON YOU"" #Billboard´s #1 - #ElvisHistory - #1960s https://t.co/K3JYgnr6mt",2022-05-06 14:47:31,0,0
1,1522587082568486912,SïbT₩॰dollaboyzCeO Di🚀k Pet 💅🏼,88,#ScapbookBulletin #GetTheTape 😽🫶 #Billboard https://t.co/5FwmKXeWFd,2022-05-06 14:40:23,0,0
2,1522579507512856579,Nisseboxx,47,"...and this is where we're coming from.

#Billboard -June 23, 1979
#Virgin #ad #reklam https://t.co/3z0jon7AUV",2022-05-06 14:10:17,0,0
3,1522574488927453184,Hardley Davidson,1051,"I can put a @SuperRare #Billboard up at anyone of these locations in the US. Which state is next bro? @TroyFitzpatric 

#ABrokenWarriorCampaign #NFT  #ETH #nftart #nftcollector #cryptocurrency #NFTCommunity #Ethereum #NFTs #crypto 

@SuperRareJohn @SuperRareDavid @SuperRareJohn https://t.co/sMd0FAiuaP",2022-05-06 13:50:20,8,0
4,1522569245837729796,Hardley Davidson,1051,"LYNWOOD, CA. #BILLBOARD!!!!!!! @SuperRare  💎💎💎💎

💎A  B R O K E N  W A R R I O R💎 #NFT 
@TroyFitzpatric   x @MultiPlatinumHD  -AM #NFTCollection #cryptoartist #ETH #nftart #nftcollector #cryptocurrency #NFTCommunity #Ethereum #NFTdrop #NFTs #crypto  

https://t.co/9jzr5rHHko https://t.co/3YOPBzioVQ",2022-05-06 13:29:30,10,1
5,1522568632613711872,"BIGTIME RADIO, TV & ENTERTAINMENT",2077,"Ward Thomas - No Filter #bigtimeradio https://t.co/N76xPoatRr @Charlie_Cawood @BigTimeRadio1 @bigtime_news
 on #Amazon Echo &amp; App https://t.co/c7cZfm4MQo  #Top40 #Music 247 #Worldwide 3 #Radio #Stations 43 #Countries #Interviews #Billboard https://t.co/JiPHr6jZyC  #SUBMI",2022-05-06 13:27:04,1,0
6,1522568119511916544,LarsonAssociate,4487,"Need billboards in McHenry Lake and Kane Counties IL to spread the news your restaurant is open or doing drive through, take-out or curb side. 
Call us at 847-991-1294
Yes, I got a guy!
#FoodFriday #billboard #McHenry #Lake #Kane https://t.co/y8WHesGiDX",2022-05-06 13:25:02,0,0
7,1522564794217373697,"BIGTIME RADIO, TV & ENTERTAINMENT",2077,"The 1975 - The Sound #bigtimeradio https://t.co/N76xPoatRr @Charlie_Cawood @BigTimeRadio1 @bigtime_news
 on #Amazon Echo &amp; App https://t.co/c7cZfm4MQo  #Top40 #Music 247 #Worldwide 3 #Radio #Stations 43 #Countries #Interviews #Billboard https://t.co/JiPHr6jZyC  #SUBMI",2022-05-06 13:11:49,1,0
8,1522562766829404161,倖田組モラ＊ともちん,113,"ネックレス買えたーーー🖤
届くのたのしみ🤍

ほんとに欲しい人の手元にだけ
届きますように🥺🥺🥺

#倖田來未 #billboard #live
#グッズ #KK #デザイン #最倖❤️ https://t.co/yvCyAUwZzI",2022-05-06 13:03:46,4,0
9,1522561408113819649,Hardley Davidson,1051,"NEW HAVEN, CT. #BILLBOARD?????? @SuperRare 💎💎💎💎

💎A  B R O K E N  W A R R I O R💎 #NFT 
@TroyFitzpatric   x @MultiPlatinumHD
 -AM #NFTCollection #cryptoartist #ETH #nftart #nftcollector #cryptocurrency #NFTCommunity #Ethereum #NFTdrop #NFTs #crypto  

https://t.co/9jzr5rHHko https://t.co/Pe1ykv9w9P",2022-05-06 12:58:22,8,0
10,1522554948390506496,Cristopher Fernandez,62,#UnVeranoSinTi YA DISPONIBLE!!! 🔥🔥🔥 #BadBunny #Spotify #Tidal #AmazonMusic #Billboard #Pandora https://t.co/colVmKirj7,2022-05-06 12:32:42,0,0
