,ID,User,Follower Count,Tweet,Created At,Favourite Count,Retweet Count
0,1521847416034578437,Radio ITALOPOWER!,273,#NowPlaying Cruz - Just For You | Radio ITALOPOWER! | https://t.co/gt2r9caOhK,2022-05-04 13:41:13,0,0
1,1521847414881202177,Inspiration FM 100.5 📻,10777,"#NowPlaying 📻▶️ HIGHWAY - @djkaywise FT. @phynofino on #NaijaTotori w/ 🎙️  @tundespy 🎧 

#ifm1005ib #YourNo1familyRadio #Music #Afrobeat 

Listen online via https://t.co/j5ebBhp8uz",2022-05-04 13:41:12,0,0
2,1521847410934300672,J1 HITS 令和 - Japan's Hottest Hits,618,J1 HITS: [23:41] #NowPlaying Ai - Be With You ~ 71 listeners #JPOP,2022-05-04 13:41:11,0,0
3,1521847410712104960,WODU Playlist Log,92,"Good Morning - Misery (Clean Edit)   
#nowplaying
#wodustudios #collegeradio 
#listenlive",2022-05-04 13:41:11,0,0
4,1521847408694800385,フリ素と化したふぃりっぷ@P兼雑多なオタク,350,"#nowplaying: ""透明エレジー (feat. GUMI)"" from ""V love 25 -Hearts-"" by n-buna  #songsinfo",2022-05-04 13:41:11,0,0
5,1521847399332737025,あっとまーく,470,#Nowplaying ウラノミト - 月ノ美兎 (月の兎はヴァーチュアルの夢をみる) https://t.co/xREA9aautL,2022-05-04 13:41:09,0,0
6,1521847388708634624,A&O Radio LLC,271,#NowPlaying TLC - Meant To Be (Clean) :: Tune In: https://t.co/NrvwgEdcS8,2022-05-04 13:41:06,0,0
7,1521847387324616705,Hit’s Only Radio,5799,"#NowPlaying Price Money 718 (@pricemoney718) - Swervin In My Lane
Listen at https://t.co/O42gAok0dp
#NewMusicAlert #HitsOnlyRadio",2022-05-04 13:41:06,0,0
8,1521847386133475328,FIP en direct,5821,♪ #nowplaying Se morto mi brami perche non m'uccidi - canzona pour hautbois et ensemble instrumental - Albrecht Mayer https://t.co/7PjXcB6upR,2022-05-04 13:41:06,0,0
9,1521847384216682496,ivory white,1,#NowPlaying Eddie Lovette Do that to me one more time,2022-05-04 13:41:05,0,0
10,1521847383591899137,rpmradio,33,#NowPlaying MidCenturyModern - MidCenturyModern - I Wanted to be Patty Smith - I wanted to be Patty Smith at https://t.co/JNfC3OuSny https://t.co/RY2FnQzeFi,2022-05-04 13:41:05,0,0
11,1521847383520382976,Anthony Samuel,3,#NowPlaying William Mc Dowell/ Company - worship You,2022-05-04 13:41:05,0,0
12,1521847382241124354,EAST WEST PLUG RADIO,47,#NowPlaying YoungBoy Never Broke Again - Demon Seed https://t.co/impAfrktbZ https://t.co/ItrzBP50ls,2022-05-04 13:41:05,0,0
13,1521847380517261314,#MrNowThatsHowYouDJ FIYA99.1 RADIO,3052,#NowPlaying Monica -  Why I Love You So Much It'S UP UP UP!!! Listen live here: {https://t.co/CjZlGYrPTl},2022-05-04 13:41:04,0,0
14,1521847378353037312,SIMONE #NOWPLAYS,97,"#NowPlaying Dionne Warwick - [There's] Always Something There to Remind Me

sur https://t.co/kQBnAIKwBX

#VotreWebtransistor https://t.co/VJlvPktYkg",2022-05-04 13:41:04,0,0
15,1521847376968835072,.,423,"♫ #NowPlaying “يا عالم” by اصالة نصري on #Anghami https://t.co/Nv5TbTBn9q 
ا♥️",2022-05-04 13:41:03,0,0
16,1521847376209760257,M.R.C,556,"#NowPlaying Malcolm McLaren &amp; Catherine Deneuve - Paris, Paris https://t.co/xo9fiTRph6",2022-05-04 13:41:03,0,0
17,1521847374620024832,Gospel Grind Radio,3033,#NowPlaying My Praise Still Remains . by Shawnte Floyd #Gospelgrind at https://t.co/QIi6sSAP3P #gospelgrind #nowplaying,2022-05-04 13:41:03,0,0
18,1521847373336612866,radio musicos et idf 102fm,150,#NowPlaying Adam Nova - Give It On Up Adam Nova - Give It On Up  Adam Nova - Give It On Up Adam Nova - Give It On Up Adam Nova - Give It On Up  Adam Nova - Give It On Up Adam Nova - Give It On Up  Adam Nova - Give It On Up,2022-05-04 13:41:03,0,0
